Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Angle in,Path length,Comment,InputAngle
7,0.0,7.9060177623,17.225415858,0.0,0.4204470054,0.9073170976,-0.0,-0.6869808739,-0.7266754976,18.528779453,15.66018933,Retina,30.0
OBJ,inf,inf,inf,0.0,0.6427876097,0.7660444431,,,,,,,40.0
1,0.0,-3.639204889,-4.9065,0.0,0.6427876097,0.7660444431,0.0,0.0,-1.0,40.0,-0.0,Input beam,40.0
2,0.0,-2.4627186644,-3.5044183152,0.0,0.5578747532,0.8299251531,0.0,-0.3162623644,-0.9486717646,21.562961594,1.8302876516,Cornea Front,40.0
3,0.0,-2.1094765115,-2.9789158684,0.0,0.5639631233,0.8257999731,0.0,-0.3356033916,-0.9420033777,14.299715768,0.63319257753,Cornea Back / Aqueous,40.0
4,0.0,-0.07508712919,0.0,0.0,0.5639631233,0.8257999731,0.0,0.0,-1.0,34.330319682,3.607309234,Pupil,40.0
5,0.0,-0.074899332002,0.00027498768365,0.0,0.5315207138,0.8470452944,0.0,-0.0073424519,-0.9999730438,33.909624398,0.00033299551055,Lens Front,40.0
6,0.0,1.7502751953,2.9089207937,0.0,0.547356147,0.8368997839,-0.0,-0.2684682734,-0.9632885269,16.535120512,3.4338728107,Lens Back / Vitreous,40.0
7,0.0,9.7049004243,15.071429925,0.0,0.547356147,0.8368997839,-0.0,-0.8369989938,-0.5472044265,23.638742476,14.53281428,Retina,40.0
OBJ,inf,inf,inf,0.0,0.7660444431,0.6427876097,,,,,,,50.0
1,0.0,-5.1686776391,-4.9065,0.0,0.7660444431,0.6427876097,0.0,0.0,-1.0,50.0,-0.0,Input beam,50.0
2,0.0,-3.1711416901,-3.230368322,0.0,0.6756367276,0.7372347064,0.0,-0.4041848298,-0.9146773329,26.159945536,2.6075979885,Cornea Front,50.0
3,0.0,-2.7118247602,-2.7291753463,0.0,0.682152363,0.7312100612,0.0,-0.4291613437,-0.9032278456,17.089266622,0.67982824377,Cornea Back / Aqueous,50.0
4,0.0,-0.16575283031,0.0,0.0,0.682152363,0.7312100612,0.0,0.0,-1.0,43.012066101,3.7324094554,Pupil,50.0
5,0.0,-0.16451528425,0.0013265454767,0.0,0.6435342837,0.7654172886,0.0,-0.0161223836,-0.9998700259,42.088281541,0.0018141783697,Lens Front,50.0
