input_angle_field,input_angle_cornea,input_angle_pupil,output_angle_pupil,output_angle_np2,output_angle_retina_center,output_angle_navarro_np2,location_np2,location_retina_center,patient,retina_location
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(20.3985, 0.0)"
10.0,10.000000000398957,8.559337957343912,8.236652718080535,9.92300231841358,14.102816114516537,9.92300231841358,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(20.03967827, 2.9008487604)"
20.0,19.999999998914607,17.12595726327433,16.46190859580295,19.862924459345766,28.12553196896033,19.862924459345766,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(18.992698961, 5.6121618057)"
30.0,30.00000000176532,25.710514922773474,24.655332961995345,29.825512561200817,41.96923983836398,29.825512561200817,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(17.34486766, 7.9613712353)"
40.0,40.000000000093536,34.3303196824177,32.782980586246524,39.79850100521461,55.506441493520484,39.79850100521461,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(15.235383901, 9.8121309656)"
50.0,50.00000000116575,43.0120661010782,40.79521761732449,49.74540987644616,68.57755647125947,49.74540987644616,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(12.841583589, 11.08268726)"
60.0,60.00000000021472,51.79298446241111,48.6234794464287,59.5951252553734,80.98994952503871,59.5951252553734,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(10.357760698, 11.758283375)"
70.0,69.99999999926973,60.71890638662633,56.18380017605628,69.23748842177899,92.53429679890607,69.23748842177899,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(7.9669009489, 11.893538725)"
80.0,80.00000000019193,69.83834448612778,63.420233798491665,78.57151563674118,103.0641511240253,78.57151563674118,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(5.8022474786, 11.597047953)"
5.0,4.999999999432984,4.279253509677091,4.118915043754312,4.960294477305451,7.056160341097561,4.960294477305451,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(20.308332772, 1.4624583873)"
15.0,14.999999997607157,12.841189909383049,12.35169446221918,14.890126859296073,21.12976382441973,14.890126859296073,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(19.59807169, 4.2915970483)"
25.0,24.999999998222226,21.41510441383745,20.564380898489098,24.84167180631992,35.07700759694827,24.84167180631992,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(18.236285429, 6.8416334009)"
35.0,35.00000000031461,30.014587652003332,28.73008076975502,34.81231948341343,48.78534603889096,34.81231948341343,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(16.337426379, 8.9556311158)"
45.0,44.99999999999999,38.66136636799611,36.80732836835414,44.778703581224114,62.111553873110324,44.778703581224114,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(14.061985392, 10.522514531)"
55.0,55.00000000065683,47.38741583649068,44.737422909909505,54.688517020481974,74.87925948265791,54.688517020481974,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(11.598831556, 11.493004745)"
65.0,64.99999999975277,56.23475617256666,52.44229189986292,64.450003733294,86.88286900423782,64.450003733294,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(9.1406896751, 11.887568564)"
75.0,75.00000000047392,65.25152809234241,59.842209498475015,73.94556910123148,97.92863721460915,73.94556910123148,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(6.8511210591, 11.791376905)"
85.0,85.00000000007425,74.48445936479959,66.93025736448251,83.12362893995726,107.95316519868325,83.12362893995726,3.4578719999999983,8.4933172008339,Patient (Lamberth),"(4.8236698789, 11.325505111)"
