input_angle_field,input_angle_cornea,input_angle_pupil,output_angle_pupil,output_angle_np2,output_angle_retina_center,output_angle_navarro_np2,location_np2,location_retina_center,patient,retina_location
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(20.3985), np.float64(0.0))"
10.0,10.000000000398957,8.559337957343912,8.236620358484162,9.924741478147162,13.887106681910387,9.924741478147162,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(20.022129705), np.float64(2.8982969683))"
20.0,19.999999998914607,17.12595726327433,16.46158325085014,19.876187789171507,27.75256215049635,19.876187789171507,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(18.929358005), np.float64(5.5933282836))"
30.0,30.00000000176532,25.710514922773474,24.653891754003293,29.866614742626016,41.53201425916641,29.866614742626016,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(17.225415858), np.float64(7.9060177623))"
40.0,40.000000000093536,34.3303196824177,32.77857806581597,39.88390674598015,55.092636464383126,39.88390674598015,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(15.071429925), np.float64(9.7049004243))"
50.0,50.00000000116575,43.0120661010782,40.78466992902085,49.88306002717221,68.22989993184453,49.88306002717221,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(12.661808084), np.float64(10.923468966))"
60.0,60.00000000021472,51.79298446241111,48.60260820809642,59.775818551990696,80.68651252044154,59.775818551990696,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(10.196207912), np.float64(11.566389056))"
70.0,69.99999999926973,60.71890638662633,56.14916135770449,69.4308243871888,92.20075901379954,69.4308243871888,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(7.8495996064), np.float64(11.703115207))"
80.0,80.00000000019193,69.83834448612778,63.37316168828769,78.73184105221013,102.61203742777141,78.73184105221013,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(5.7383659648), np.float64(11.445857555))"
5.0,4.999999999432984,4.279253509677091,4.118911268601279,4.960514401911622,6.944354835561434,4.960514401911622,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(20.303833183), np.float64(1.4621330149))"
15.0,14.999999997607157,12.841189909383049,12.351573352678901,14.895882429274572,20.825150860371807,14.895882429274572,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(19.560230904), np.float64(4.2832673229))"
25.0,24.999999998222226,21.41510441383745,20.56365336240991,24.866622613819818,34.659588505141556,24.866622613819818,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(18.144798235), np.float64(6.8070476922))"
35.0,35.00000000031461,30.014587652003332,28.727470459777408,34.87382906383049,48.35089425560752,34.87382906383049,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(16.192992149), np.float64(8.8754977161))"
45.0,44.99999999999999,38.66136636799611,36.80033377115384,44.89013431872407,61.729412786511105,44.89013431872407,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(13.885875539), np.float64(10.388088262))"
55.0,55.00000000065683,47.38741583649068,44.722252149260484,54.850162052453165,74.5604026142881,54.850162052453165,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(11.424123782), np.float64(11.313897756))"
65.0,64.99999999975277,56.23475617256666,52.414799195652726,64.64205694382271,86.57562122332102,64.64205694382271,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(8.9989454527), np.float64(11.691614612))"
75.0,75.00000000047392,65.25152809234241,59.80063543904841,74.12848776989564,97.54600278307,74.12848776989564,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(6.7605642505), np.float64(11.616108718))"
85.0,85.00000000007425,74.48445936479959,66.88108727777976,83.25018691670329,107.41592630551652,83.25018691670329,3.4578719999999983,8.29934320631871,Patient1,"(np.float64(4.7841584997), np.float64(11.206051257))"
