Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
1,0.0,-5.701597838,-4.55,0.0,0.8191520443,0.5735764364,"0,0000000000",0.0,-1.0,55.0,-0.0,Inputbeam,,55.0
2,0.0,-3.2573706363,-2.8385336883,0.0,0.7202059765,0.6937602982,"0,0000000000",-0.4125001881,-0.9109575154,30.638010229,2.983850457,CorneaFront,,55.0
3,0.0,-2.8125154321,-2.4100133911,0.0,0.7276294174,0.6859704301,"0,0000000000",-0.4326946819,-0.9015405217,20.432795486,0.61767774583,CorneaBack/Aqueous,,55.0
4,0.0,-0.25614191673,0.0,0.0,0.7276294174,0.6859704301,"0,0000000000",0.0,-1.0,46.688026159,3.5132904941,Pupil,,55.0
5,0.0,-0.25281950295,0.0031321955243,0.0,0.6871116197,0.7265518715,"0,0000000000",-0.0247624168,-0.9996933643,45.269099153,0.0045660795088,LensFront,,55.0
6,0.0,2.8754615204,3.3109767537,0.0,0.7017495191,0.712423759,"-0,0000000000",-0.4321765928,-0.9017889956,17.796129504,4.5527988955,LensBack/Vitreous,,55.0
7,0.0,11.437012635,12.002756743,0.0,0.7017495191,0.712423759,"-0,0000000000",-0.9530843862,-0.3027047286,27.812334716,12.20029495,Retina,,55.0
OBJ,inf,inf,inf,0.0,0.9659258263,0.2588190451,-----,,,,,,,75.0
1,0.0,-14.899473104,-4.55,0.0,0.9659258263,0.2588190451,"0,0000000000",0.0,-1.0,75.0,-0.0,Inputbeam,,75.0
2,0.0,-4.8873443505,-1.8672581859,0.0,0.8954029302,0.4452567714,"0,0000000000",-0.6024638183,-0.7981461944,37.953439819,10.365318414,CorneaFront,,75.0
3,0.0,-4.1891089824,-1.5200468744,0.0,0.9009108199,0.4340042564,"0,0000000000",-0.644478305,-0.7646225961,23.43366007,0.77980018217,CorneaBack/Aqueous,,75.0
